CustID,AgentBonus,Age,CustTenure,Channel,Occupation,EducationField,Gender,ExistingProdType,Designation,NumberOfPolicy,MaritalStatus,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,Zone,PaymentMethod,LastMonthCalls,CustCareScore
7000000,4409,22.0,4.0,Agent,Salaried,Graduate,Female,3,Manager,2.0,Single,20993.0,1,2.0,806761.0,North,Half Yearly,5,2.0
7000001,2214,11.0,2.0,Third Party Partner,Salaried,Graduate,Male,4,Manager,4.0,Divorced,20130.0,0,3.0,294502.0,North,Yearly,7,3.0
7000002,4273,26.0,4.0,Agent,Free Lancer,Post Graduate,Male,4,Exe,3.0,Unmarried,17090.0,1,2.0,0.0,North,Yearly,0,3.0
7000003,1791,11.0,0.0,Third Party Partner,Salaried,Graduate,Fe male,3,Executive,3.0,Divorced,17909.0,1,2.0,268635.0,West,Half Yearly,0,5.0
7000004,2955,6.0,0.0,Agent,Small Business,UG,Male,3,Executive,4.0,Divorced,18468.0,0,4.0,366405.0,West,Half Yearly,2,5.0
7000005,3252,7.0,0.0,Third Party Partner,Salaried,Graduate,Male,3,Executive,2.0,Single,18068.0,0,2.0,487836.0,North,Half Yearly,6,5.0
7000006,3850,12.0,23.0,Agent,Salaried,Graduate,Male,4,VP,3.0,Divorced,34999.0,0,2.0,392689.0,North,Yearly,9,2.0
7000007,2073,6.0,4.0,Agent,Small Business,Under Graduate,Female,3,Executive,4.0,Unmarried,17279.0,0,2.0,369079.0,West,Half Yearly,3,3.0
7000008,2719,8.0,11.0,Agent,Salaried,Graduate,Male,4,Manager,3.0,Divorced,20916.0,1,1.0,405143.0,West,Yearly,1,4.0
7000009,3247,6.0,3.0,Online,Small Business,Under Graduate,Male,2,Exe,2.0,Married,17089.0,0,1.0,0.0,West,Quarterly,2,4.0
7000010,6676,20.0,7.0,Online,Small Business,Under Graduate,Male,4,AVP,2.0,Divorced,0.0,0,3.0,1048182.0,North,Yearly,8,4.0
7000011,4455,18.0,27.0,Agent,Salaried,Graduate,Male,2,Executive,5.0,Divorced,18564.0,1,5.0,654938.0,North,Quarterly,7,3.0
7000012,3497,10.0,7.0,Third Party Partner,Small Business,UG,Fe male,3,Manager,4.0,Single,19425.0,0,1.0,447552.0,West,Half Yearly,2,2.0
7000013,3648,22.0,22.0,Online,Small Business,Under Graduate,Female,3,Manager,3.0,Married,20265.0,0,1.0,383009.0,West,Half Yearly,2,2.0
